import time: self [us] | cumulative | imported package
import time:       822 |        822 |                   pandas.core.indexes.period
import time:       829 |        829 |                   pandas.core.indexes.range
import time:       351 |      10796 |                 pandas.core.indexes.api
import time:       237 |      11033 |               pandas.core.aggregation
import time:       891 |        891 |               pandas.core.apply
import time:       310 |        310 |                     pandas._libs.indexing
import time:      2140 |       2450 |                   pandas.core.indexing
import time:       193 |        193 |                       pandas.core.reshape
import time:       169 |        169 |                             backports_abc
import time:       632 |        800 |                           pandas._libs.internals
import time:       411 |        411 |                             pandas._libs.writers
import time:       224 |        224 |                             pandas.core.array_algos.quantile
import time:       241 |        241 |                             pandas.core.array_algos.replace
import time:      1345 |       2219 |                           pandas.core.internals.blocks
import time:       329 |       3348 |                         pandas.core.internals.api
import time:       427 |        427 |                           pandas.core.internals.base
import time:       939 |       1366 |                         pandas.core.internals.array_manager
import time:       303 |        303 |                             pandas.core.internals.ops
import time:       763 |       1065 |                           pandas.core.internals.managers
import time:      1597 |       2662 |                         pandas.core.internals.concat
import time:       268 |       7643 |                       pandas.core.internals
import time:       513 |       8348 |                     pandas.core.reshape.concat
import time:       418 |        418 |                         gzip
import time:       586 |        586 |                         tempfile
import time:       734 |        734 |                         zipfile
import time:      1216 |       2952 |                       pandas.io.common
import time:       880 |       3832 |                     pandas.io.formats.format
import time:       474 |      12652 |                   pandas.core.describe
import time:       326 |        326 |                   pandas.core.internals.construction
import time:       148 |        148 |                   pandas.core.shared_docs
import time:       133 |        133 |                         pandas._libs.window
import time:       463 |        596 |                       pandas._libs.window.aggregations
import time:       197 |        197 |                       pandas.core.util.numba_
import time:       173 |        173 |                       pandas.core.window.common
import time:       332 |        332 |                       pandas.core.window.doc
import time:       277 |        277 |                         pandas._libs.window.indexers
import time:       493 |        769 |                       pandas.core.window.indexers
import time:       276 |        276 |                       pandas.core.window.numba_
import time:       290 |        290 |                       pandas.core.window.online
import time:      2094 |       2094 |                       pandas.core.window.rolling
import time:       872 |       5594 |                     pandas.core.window.ewm
import time:       796 |        796 |                     pandas.core.window.expanding
import time:       187 |       6576 |                   pandas.core.window
import time:     14790 |      36940 |                 pandas.core.generic
import time:       147 |        147 |                   pandas.core.reshape.util
import time:       413 |        559 |                 pandas.core.reshape.melt
import time:       325 |        325 |                   pandas._libs.reshape
import time:       495 |        495 |                   pandas.core.indexes.accessors
import time:       167 |        167 |                     pandas.arrays
